class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,confidence,File Name
complete,0.15732400000000002,0.711236,0.0528300318379613,0.08379015660565386,0.961481,T16L600_W1_GC1_R2_P92_g12_2
complete,0.788135,0.31243400000000005,0.048165023917776696,0.07738412127174413,0.953676,T16L600_W1_GC1_R2_P92_g12_2
complete,0.30463375,0.712633,0.05138511165697716,0.08293964902264779,0.953567,T16L600_W1_GC1_R2_P92_g12_2
complete,0.9310375,0.310461,0.0453228587469943,0.0770106031660575,0.951932,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.15876175,0.32489650000000003,0.051990377032677865,0.08068685415853068,0.914796,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.901974,0.0750863,0.05574651897876673,0.0749460792636947,0.914612,T16L600_W1_GC1_R2_P92_g12_2
complete,0.026072646249999998,0.7042595,0.048641000256984895,0.05346610493517193,0.914353,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.30905649999999996,0.088367975,0.05846715750239616,0.07595723513925456,0.912263,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.1159129,0.084430625,0.05919687305289021,0.07154747925573618,0.909374,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.70084525,0.0852493,0.05117370352720233,0.07912601708667008,0.907924,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.5264755,0.0835245,0.05462490058581343,0.07680700260392931,0.907399,T16L600_W1_GC1_R2_P92_g12_2
complete,0.44126825000000003,0.71250375,0.04981900256930086,0.08491101300773649,0.894432,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.876608,0.968714,0.049484135962952785,0.07058061232378192,0.891454,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.62134,0.9711395,0.055303770875049736,0.08096556702697756,0.884749,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.3462245,0.32250775,0.049659008467749344,0.07988804311660164,0.873348,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.34974950000000005,0.9678087500000001,0.0670703909411598,0.07507937872012531,0.859768,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.9642655,0.6941115,0.055361251882521584,0.06957899444516287,0.853436,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.0257105905,0.32461125,0.05212720463980396,0.04909532347491199,0.840988,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.44961949999999995,0.9729255,0.050482891398968055,0.06704474895172623,0.828521,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.77604425,0.966728,0.05437135305471066,0.07886997606820986,0.822564,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.1710805,0.97193825,0.05395943117750589,0.07945265067950848,0.793533,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.5856637499999999,0.7082094999999999,0.048606800727881615,0.08937964279409488,0.760591,T16L600_W1_GC1_R2_P92_g12_2
complete,0.60247125,0.3149235,0.04889906875391394,0.08334136306180744,0.739689,T16L600_W1_GC1_R2_P92_g12_2
blurry.complete,0.7698514999999999,0.7007255,0.055539293162589036,0.08751643171999185,0.730075,T16L600_W1_GC1_R2_P92_g12_2
hair,0.382854,0.108360125,0.024484204002580924,0.02133601043330268,0.683653,T16L600_W1_GC1_R2_P92_g12_2
hair,0.152239,0.609275,0.01805246204815286,0.02764902692681968,0.623718,T16L600_W1_GC1_R2_P92_g12_2
